,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.0,ARI,0,0,0,0,0,0,0,0,COL,0,0,0,0,0,0,0,0,True
14,13.0,ARI,1,0,12,0,8,0,2,0,COL,0,1,0,9,0,2,0,8,True
25,24.0,ARI,2,0,20,0,17,0,9,0,COL,0,2,0,19,0,10,0,17,False
51,50.0,ARI,2,1,25,0,18,0,11,0,LAN,2,2,24,0,11,0,2,0,True
63,62.0,ARI,3,1,39,0,26,0,18,0,LAN,2,3,24,19,11,7,2,8,True
76,75.0,ARI,4,1,47,0,32,0,19,0,LAN,2,4,24,23,11,8,2,14,True
92,91.0,SLN,3,3,0,54,0,28,0,24,ARI,5,1,54,0,35,0,19,0,False
112,111.0,SLN,3,4,2,54,1,28,3,24,ARI,6,1,54,9,35,3,19,1,True
127,126.0,SLN,4,4,12,54,6,28,5,24,ARI,6,2,54,14,35,6,19,6,False
139,138.0,SFN,4,4,46,25,21,2,13,12,ARI,7,2,54,21,35,10,19,7,False
153,152.0,SFN,4,5,51,25,22,2,15,12,ARI,8,2,54,26,35,12,19,8,True
168,167.0,SFN,5,5,59,25,26,2,19,12,ARI,8,3,54,32,35,16,19,12,False
188,187.0,LAN,4,7,47,46,21,14,18,25,ARI,9,3,54,41,35,23,19,15,False
202,201.0,LAN,4,8,58,46,28,14,23,25,ARI,10,3,54,51,35,29,19,22,False
213,212.0,LAN,4,9,66,46,29,14,32,25,ARI,11,3,54,61,35,38,19,23,True
231,230.0,ARI,11,4,54,65,35,40,19,29,SFN,6,9,65,61,29,13,26,30,True
247,246.0,ARI,12,4,57,65,36,40,19,29,SFN,6,10,65,62,29,13,26,31,False
260,259.0,ARI,12,5,67,65,39,40,23,29,SFN,7,10,65,71,29,17,26,34,True
269,268.0,ARI,13,5,74,65,42,40,24,29,SDN,7,13,70,52,38,19,44,15,False
285,284.0,ARI,13,6,75,65,43,40,26,29,SDN,8,13,70,57,38,21,44,16,True
300,299.0,ARI,14,6,73,65,41,40,26,29,SDN,8,14,70,66,38,23,44,22,True
326,325.0,PHI,14,7,83,72,61,37,20,37,ARI,15,6,71,65,35,40,21,29,False
339,338.0,PHI,14,8,84,72,60,37,28,37,ARI,16,6,71,76,35,48,21,33,True
354,353.0,PHI,15,8,74,72,45,37,28,37,ARI,16,7,71,72,35,48,21,37,False
368,367.0,WAS,11,14,73,81,26,46,36,41,ARI,17,7,71,78,35,53,21,34,False
384,383.0,WAS,11,15,78,81,29,46,33,41,ARI,18,7,71,77,35,54,21,37,False
400,399.0,WAS,11,16,81,81,30,46,34,41,ARI,19,7,71,81,35,56,21,39,True
409,408.0,ARI,19,8,71,83,35,53,21,37,LAN,12,15,77,102,41,56,49,44,True
