,ht,ht_wins,ht_losses,ht_l10_hits_h,ht_l10_hits_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_ers_h,ht_l10_ers_a,at,at_wins,at_losses,at_l10_hits_h,at_l10_hits_a,at_l10_rbis_h,at_l10_rbis_a,at_l10_ers_h,at_l10_ers_a,home_team_won
0,ARI,0,0,0,0,0,0,0,0,COL,0,0,0,0,0,0,0,0,True
1,ATL,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,True
2,LAN,0,0,0,0,0,0,0,0,SFN,0,0,0,0,0,0,0,0,False
3,MIA,0,0,0,0,0,0,0,0,CHN,0,0,0,0,0,0,0,0,False
4,NYN,0,0,0,0,0,0,0,0,SLN,0,0,0,0,0,0,0,0,True
5,SDN,0,0,0,0,0,0,0,0,MIL,0,0,0,0,0,0,0,0,False
6,BAL,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,True
7,KCA,0,0,0,0,0,0,0,0,CHA,0,0,0,0,0,0,0,0,False
8,OAK,0,0,0,0,0,0,0,0,ANA,0,0,0,0,0,0,0,0,True
9,SEA,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,True
10,TBA,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,True
11,TEX,0,0,0,0,0,0,0,0,HOU,0,0,0,0,0,0,0,0,False
12,TOR,0,0,0,0,0,0,0,0,NYA,0,0,0,0,0,0,0,0,False
13,ARI,1,0,12,0,8,0,2,0,COL,0,1,0,9,0,2,0,8,True
14,ATL,1,0,9,0,7,0,5,0,PHI,0,1,0,6,0,5,0,7,False
15,CIN,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,False
16,LAN,0,1,6,0,0,0,1,0,SFN,1,0,0,8,0,1,0,0,False
17,MIA,0,1,8,0,4,0,7,0,CHN,1,0,0,9,0,8,0,3,True
18,SDN,0,1,6,0,1,0,2,0,MIL,1,0,0,10,0,2,0,1,False
19,DET,0,0,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,False
20,OAK,1,0,12,0,6,0,5,0,ANA,0,1,0,13,0,5,0,6,False
21,TBA,1,0,4,0,6,0,4,0,BOS,0,1,0,8,0,4,0,6,False
22,TEX,0,1,6,0,0,0,4,0,HOU,1,0,0,6,0,4,0,1,True
23,TOR,0,1,2,0,1,0,5,0,NYA,1,0,0,11,0,6,0,1,False
24,ARI,2,0,20,0,17,0,9,0,COL,0,2,0,19,0,10,0,17,False
25,ATL,1,1,18,0,11,0,9,0,PHI,1,1,0,16,0,10,0,11,True
26,CIN,0,1,7,0,0,0,2,0,WAS,1,0,0,6,0,2,0,0,False
27,LAN,0,2,7,0,0,0,2,0,SFN,2,0,0,10,0,2,0,0,True
28,MIA,1,1,20,0,6,0,8,0,CHN,1,1,0,17,0,9,0,5,False
29,NYN,1,0,12,0,8,0,4,0,SLN,0,1,0,6,0,4,0,8,True
30,SDN,0,2,18,0,7,0,7,0,MIL,2,0,0,21,0,10,0,7,False
31,BAL,1,0,5,0,3,0,2,0,MIN,0,1,0,8,0,2,0,3,False
32,KCA,0,1,9,0,6,0,14,0,CHA,1,0,0,14,0,14,0,6,False
33,OAK,1,1,19,0,7,0,7,0,ANA,1,1,0,19,0,6,0,7,False
34,SEA,1,0,6,0,2,0,1,0,CLE,0,1,0,5,0,1,0,2,False
35,TBA,1,1,8,0,6,0,5,0,BOS,1,1,0,15,0,5,0,6,False
